"name","flavor"
"G-Max Wildfire","A Fire-type attack that Gigantamax Charizard use. This move continues to deal damage to opponents for four turns."
"Grass Knot","The user snares the target with grass and trips it. The heavier the target, the greater the move's power."
"Grass Pledge","A column of grass hits the target. When used with its water counterpart, this move's power is boosted and a vast swamp appears."
"Grass Whistle","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Grassy Glide","Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain."
"Grassy Terrain","The user turns the ground into Grassy Terrain for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass-type moves."
"Grav Apple","The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat."
"Gravity","Enables Flying types or Pokémon with the Levitate Ability to be hit by Ground-type moves for five turns. Moves that involve flying can't be used."
"Growl","The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats."
"Growth","The user's body grows all at once, boosting the Attack and Sp. Atk stats."
"Grudge","If the user faints, the user’s grudge fully depletes the PP of the opponent’s move that knocked it out."
"Guard Split","The user employs its psychic power to average its Defense and Sp. Def stats with those of the target."
"Guard Swap","The user employs its psychic power to switch changes to its Defense and Sp. Def stats with the target."
"Guardian of Alola","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Guillotine","A vicious tearing attack with big pincers. The target faints instantly if this attack hits."
"Gunk Shot","The user shoots filthy garbage at the target to attack. This may also poison the target."
"Gust","A gust of wind is whipped up by wings and launched at the target to inflict damage."
"Gyro Ball","The user tackles the target with a high-speed spin. The slower the user is than the target, the greater the move's power."
"Hail","The user summons a hailstorm lasting five turns. It damages all Pokémon except Ice types."
"Hammer Arm","The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user's Speed stat."
"Happy Hour","Using Happy Hour doubles the amount of prize money received after battle."
"Hard Press","The target is crushed with an arm, a claw, or the like to inflict damage. The more HP the target has left, the greater the move's power."
"Harden","The user stiffens all the muscles in its body to boost its Defense stat."
"Haze","The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle."
"Head Charge","The user charges its head into its target, using its powerful guard hair. This also damages the user a little."
"Head Smash","The user attacks the target with a hazardous full-power headbutt. This also damages the user terribly."
"Headbutt","The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch."
"Headlong Rush","The user smashes into the target in a full-body tackle. This also lowers the user’s Defense and Sp. Def stats."
"Heal Bell","The user makes a soothing bell chime to cure the status conditions of all its fellow party Pokémon and allies."
"Heal Block","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Heal Order","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Heal Pulse","The user emits a healing pulse that restores the target's HP by up to half its max HP."
"Healing Wish","The user faints. In return, the Pokémon taking its place will have its HP restored and status conditions cured."
"Heart Stamp","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Heart Swap","The user employs its psychic power to switch stat changes with the target."
"Heat Crash","The user slams into the target with its flame-covered body. The more the user outweighs the target, the greater the move's power."
"Heat Wave","The user attacks by exhaling hot breath on opposing Pokémon. This may also leave them with a burn."
"Heavy Slam","The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power."
"Helping Hand","The user assists an ally by boosting the power of that ally's attack."
"Hex","This relentless attack does massive damage to a target affected by status conditions."
"Hidden Power","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"High Horsepower","The user fiercely attacks the target using its entire body."
"High Jump Kick","The target is attacked with a knee kick from a jump. If this move misses, the user takes damage instead."
"Hold Back","The user holds back when it attacks, and the target is left with at least 1 HP."
"Hold Hands","The user and an ally hold hands. This makes them very happy."
"Hone Claws","The user sharpens its claws to boost its Attack stat and accuracy."
"Horn Attack","The target is jabbed with a sharply pointed horn to inflict damage."
"Horn Drill","The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits."
"Horn Leech","The user drains the target's energy with its horns. The user's HP is restored by up to half the damage taken by the target."
"Howl","The user howls loudly to rouse itself and its allies. This boosts their Attack stats."
"Hurricane","The user attacks by wrapping its opponent in a fierce wind. This may also confuse the target."
"Hydro Cannon","The target is hit with a watery blast. The user can't move on the next turn."
"Hydro Pump","The target is blasted by a huge volume of water launched under great pressure."
"Hydro Steam","The user blasts the target with boiling-hot water. This move's power is not lowered in harsh sunlight but rather boosted by 50 percent."
"Hydro Vortex","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Hyper Beam","The target is attacked with a powerful beam. The user can't move on the next turn."
"Hyper Drill","The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect."
"Hyper Fang","The user bites hard on the target with its sharp front fangs. This may also make the target flinch."
"Hyper Voice","The user attacks by letting loose a horribly loud, resounding cry."
"Hyperspace Fury","Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. This also lowers the user's Defense stat."
"Hyperspace Hole","Using a hyperspace hole, the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect."
"Hypnosis","The user employs hypnotic suggestion to make the target fall asleep."
"Ice Ball","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Ice Beam","The target is struck with an icy-cold beam of energy. This may also leave the target frozen."
"Ice Burn","The turn after using this move, the user surrounds the target with an ultracold, freezing wind to inflict damage. This may also leave the target with a burn."
"Ice Fang","The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen."
"Ice Hammer","The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user's Speed stat."
"Ice Punch","The target is attacked with an icy punch. This may also leave the target frozen."
"Ice Shard","The user flash-freezes chunks of ice and hurls them at the target. This move always goes first."
"Ice Spinner","The user covers its feet in thin ice and twirls around, slamming into the target. This move's spinning motion also destroys the terrain."
"Icicle Crash","The user attacks by crashing large icicles onto the target. This may also make the target flinch."
"Icicle Spear","The user attacks by launching sharp icicles at the target. This move hits two to five times in a row."
"Icy Wind","The user attacks with a gust of chilled air. This also lowers opposing Pokémon's Speed stats."
"Imprison","If opposing Pokémon know any move also known by the user, they are prevented from using it."
"Incinerate","The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable."
"Infernal Parade","The user attacks with myriad fireballs. This may also leave the target with a burn. This move's power is doubled if the target has a status condition."
"Inferno","The user attacks by engulfing the target in an intense fire. This leaves the target with a burn."
"Inferno Overdrive","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Infestation","The target is infested and attacked for four to five turns. The target can't flee during this time."
"Ingrain","The user lays roots that restore its own HP every turn. Because the user is now rooted, it can't switch out."
"Instruct","The user instructs the target to reuse the move last used by the target."
"Ion Deluge","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Iron Defense","The user hardens its body's surface like iron, sharply boosting its Defense stat."
"Iron Head","The user slams the target with its steel-hard head. This may also make the target flinch."
"Iron Tail","The target is slammed with a steel-hard tail. This may also lower the target's Defense stat."
"Ivy Cudgel","The user strikes with an ivy-wrapped cudgel. This move's type changes depending on the mask worn by the user, and it has a heightened chance of landing a critical hit."
"Jaw Lock","This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field."
"Jet Punch","The user summons a torrent around its fist and punches at blinding speed. This move always goes first."
"Judgment","The user releases countless shots of light at the target. This move's type changes depending on the kind of plate held by the user."
"Jump Kick","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Jungle Healing","The user becomes one with the jungle, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle."
"Karate Chop","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Kinesis","The user distracts the target by bending a spoon. This lowers the target’s accuracy."
"King’s Shield","The user takes a defensive stance while it protects itself from damage. It also lowers the Attack stat of any attacker that makes direct contact."
"Knock Off","The user slaps down the target's held item, making it unusable for that battle. This move does more damage if the target has a held item."
"Kowtow Cleave","The user slashes at the target after kowtowing to make the target let down its guard. This attack never misses."
"Land’s Wrath","The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them."
"Laser Focus","The user concentrates intensely. The attack on the next turn always results in a critical hit."
"Lash Out","The user lashes out to vent its frustration toward the target. This move's power is doubled if the user's stats were lowered during this turn."
"Last Resort","This move can be used only after the user has used all the other moves it knows in the battle."
"Last Respects","The user attacks to avenge its allies. The more defeated allies there are in the user's party, the greater the move's power."
"Lava Plume","The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn."
"Leaf Blade","The user handles a sharp leaf like a sword and cuts the target to inflict damage. This move has a heightened chance of landing a critical hit."
"Leaf Storm","The user whips up a storm of leaves around the target. The recoil from this move harshly lowers the user's Sp. Atk stat."
"Leaf Tornado","The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy."
"Leafage","The user attacks by pelting the target with leaves."
"Leech Life","The user drains the target's blood. The user's HP is restored by up to half the damage taken by the target."
"Leech Seed","A seed is planted on the target. It steals some HP from the target every turn."
"Leer","The user gives opposing Pokémon an intimidating leer that lowers their Defense stats."
"Let’s Snuggle Forever","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Lick","The user licks the target with a long tongue to inflict damage. This may also leave the target with paralysis."
"Life Dew","The user scatters mysterious water around and restores the HP of itself and its ally Pokémon currently in the battle."
"Light of Ruin","Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot."
"Light Screen","A wondrous wall of light is put up to reduce damage from special moves for five turns."
"Light That Burns the Sky","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Liquidation","The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat."
"Lock-On","The user takes sure aim at the target. This ensures the user's next move does not miss that target."
"Lovely Kiss","With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep."
"Low Kick","A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power."
"Low Sweep","The user makes a swift attack on the target's legs, which lowers the target's Speed stat."
"Lucky Chant","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Lumina Crash","The user attacks by unleashing a peculiar light that even affects the mind. This also harshly lowers the target's Sp. Def stat."
"Lunar Blessing","The user receives a blessing from the crescent moon, restoring HP and curing status conditions for itself and its ally Pokémon currently in the battle."
"Lunar Dance","The user faints. In return, the Pokémon taking its place will have its HP and PP restored and its status conditions cured."
"Lunge","The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
"Luster Purge","The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat."
"Mach Punch","The user throws a punch at blinding speed. This move always goes first."
"Magic Coat","Moves like Leech Seed and moves that inflict status conditions are blocked by a barrier and reflected back to the user of those moves."
"Magic Powder","The user scatters a cloud of magic powder that changes the target's type to Psychic."
"Magic Room","The user creates a bizarre area in which Pokémon's held items lose their effects for five turns."
"Magical Leaf","The user scatters curious leaves that chase the target. This attack never misses."
"Magma Storm","The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns."
"Magnet Bomb","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Magnet Rise","The user levitates using electrically generated magnetism for five turns."
"Magnetic Flux","The user manipulates magnetic fields, which boosts the Defense and Sp. Def stats of ally Pokémon with the Plus Ability or the Minus Ability."
"Magnitude","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Make It Rain","The user attacks by throwing out a mass of coins. This also lowers the user's Sp. Atk stat. Money is earned after the battle."
"Malicious Moonsault","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Malignant Chain","The user pours toxins into the target by wrapping them in a toxic, corrosive chain. This may also leave the target badly poisoned."
"Mat Block","Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves."
"Matcha Gotcha","The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn."
"Max Airstream","This is a Flying-type attack Dynamax Pokémon use. This raises ally Pokémon’s Speed stats."
"Max Darkness","This is a Dark-type attack Dynamax Pokémon use. This lowers the target’s Sp. Def stat."
"Max Flare","This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns."
"Max Flutterby","This is a Bug-type attack Dynamax Pokémon use. This lowers the target’s Sp. Atk stat."
"Max Geyser","This is a Water-type attack Dynamax Pokémon use. The user summons a heavy rain that falls for five turns."
"Max Guard","This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession."
"Max Hailstorm","This is an Ice-type attack Dynamax Pokémon use. The user summons a hailstorm lasting five turns."
"Max Knuckle","This is a Fighting-type attack Dynamax Pokémon use. This raises ally Pokémon’s Attack stats."
"Max Lightning","This is an Electric-type attack Dynamax Pokémon use. The user turns the ground into Electric Terrain for five turns."
"Max Mindstorm","This is a Psychic-type attack Dynamax Pokémon use. The user turns the ground into Psychic Terrain for five turns."
"Max Ooze","This is a Poison-type attack Dynamax Pokémon use. This raises ally Pokémon’s Sp. Atk stats."
"Max Overgrowth","This is a Grass-type attack Dynamax Pokémon use. The user turns the ground into Grassy Terrain for five turns."
"Max Phantasm","This is a Ghost-type attack Dynamax Pokémon use. This lowers the target’s Defense stat."
"Max Quake","This is a Ground-type attack Dynamax Pokémon use. This raises ally Pokémon’s Sp. Def stats."
"Max Rockfall","This is a Rock-type attack Dynamax Pokémon use. The user summons a sandstorm lasting five turns."
"Max Starfall","This is a Fairy-type attack Dynamax Pokémon use. The user turns the ground into Misty Terrain for five turns."
"Max Steelspike","This is a Steel-type attack Dynamax Pokémon use. This raises ally Pokémon’s Defense stats."
"Max Strike","This is a Normal-type attack Dynamax Pokémon use. This lowers the target’s Speed stat."
"Max Wyrmwind","This is a Dragon-type attack Dynamax Pokémon use. This lowers the target’s Attack stat."
"Me First","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Mean Look","The user pins the target with a dark, arresting look. The target becomes unable to flee."
"Meditate","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Mega Drain","A nutrient-draining attack. The user's HP is restored by up to half the damage taken by the target."
"Mega Kick","The target is attacked by a kick launched with muscle-packed power."
"Mega Punch","The target is slugged by a punch thrown with muscle-packed power."
"Megahorn","Using its tough and impressive horn, the user rams into the target with no letup."
"Memento","The user faints. In return, the target's Attack and Sp. Atk stats are harshly lowered."
"Menacing Moonraze Maelstrom","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Metal Burst","The user retaliates with much greater force against the opponent that last inflicted damage on it."
"Metal Claw","The target is raked with steel claws. This may also boost the user's Attack stat."
"Metal Sound","A horrible sound like scraping metal harshly lowers the target's Sp. Def stat."
"Meteor Assault","The user attacks wildly with its thick leek. The user can’t move on the next turn, because the force of this move makes it stagger."
"Meteor Beam","The user gathers energy from space and boosts its Sp. Atk stat on the first turn, then attacks on the next turn."
"Meteor Mash","The target is hit with a hard punch fired like a meteor. This may also boost the user’s Attack stat."
"Metronome","The user waggles a finger and stimulates its brain into randomly using nearly any move."
"Mighty Cleave","The user wields the light that has accumulated atop its head to cleave the target. This move hits even if the target protects itself."
"Milk Drink","The user restores its own HP by up to half its max HP."
"Mimic","The user copies the move last used by the target. The copied move can be used until the user of Mimic leaves the battle."
"Mind Blown","The user attacks everything around it by causing its own head to explode. This also damages the user."
"Mind Reader","The user senses the target’s movements with its mind to ensure its next attack does not miss the target."
"Minimize","The user compresses its body to make itself look smaller, which sharply boosts its evasiveness."
"Miracle Eye","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Mirror Coat","A retaliatory attack that counters any special move, inflicting double the damage taken."
"Mirror Move","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Mirror Shot","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Mist","The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns."
"Mist Ball","A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat."
"Misty Explosion","The user attacks everything around it and faints upon using this move. This move's power is boosted on Misty Terrain."
"Misty Terrain","This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns."
"Moonblast","Borrowing the power of the moon, the user attacks the target. This may also lower the target's Sp. Atk stat."
"Moongeist Beam","The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Ability."
"Moonlight","The user restores its own HP. The amount of HP regained varies with the weather."
"Morning Sun","The user restores its own HP. The amount of HP regained varies with the weather."
"Mortal Spin","The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also poisons opposing Pokémon."
"Mountain Gale","The user hurls giant chunks of ice at the target to inflict damage. This may also make the target flinch."
"Mud Bomb","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Mud Shot","The user attacks by hurling a blob of mud at the target. This also lowers the target's Speed stat."
"Mud Sport","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Muddy Water","The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy."
"Mud-Slap","The user hurls mud in the target's face to inflict damage and lower its accuracy."
"Multi-Attack","Cloaking itself in high energy, the user slams into the target. The memory held determines the move’s type."
"Mystical Fire","The user attacks by breathing a special, hot fire. This also lowers the target's Sp. Atk stat."
"Mystical Power","The user attacks by emitting a mysterious power. This also boosts the user’s Sp. Atk stat."
"Nasty Plot","The user stimulates its brain by thinking bad thoughts. This sharply boosts the user's Sp. Atk stat."
"Natural Gift","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Nature Power","This attack makes use of nature’s power. Its effects vary depending on the user’s environment."
"Nature’s Madness","The user hits the target with the force of nature. It halves the target’s HP."
"Needle Arm","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Never-Ending Nightmare","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Night Daze","The user looses a pitch-black shock wave at the target to inflict damage. This may also lower the target's accuracy."
"Night Shade","The user makes the target see a frightening mirage. It inflicts damage equal to the user's level."
"Night Slash","The user slashes the target the instant an opportunity arises. This move has a heightened chance of landing a critical hit."
"Nightmare","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"No Retreat","This move boosts all the user's stats but prevents the user from switching out or fleeing."
"Noble Roar","Letting out a noble roar, the user intimidates the target and lowers the target's Attack and Sp. Atk stats."
"Nuzzle","The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis."
"Oblivion Wing","The user absorbs its target’s HP. The user’s HP is restored by over half of the damage taken by the target."
"Obstruct","This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession. Direct contact harshly lowers the attacker’s Defense stat."
"Oceanic Operetta","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Octazooka","The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy."
"Octolock","The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn."
"Odor Sleuth","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Ominous Wind","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Order Up","The user attacks with elegant poise. If the user has a Tatsugiri in its mouth, this move boosts one of the user's stats based on the Tatsugiri's form."
"Origin Pulse","The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue."
"Outrage","The user rampages and attacks for two to three turns. The user then becomes confused."
"Overdrive","The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration."
"Overheat","The user attacks the target with all its might. The recoil from this move harshly lowers the user's Sp. Atk stat."
"Pain Split","The user adds its HP to the target's HP, then equally splits the combined HP between the target and itself."
"Parabolic Charge","The user attacks everything around it. The user's HP is restored by half the damage taken by those hit."
"Parting Shot","With a parting threat, the user lowers the target's Attack and Sp. Atk stats. Then it switches places with a party Pokémon in waiting."
"Pay Day","Coins are hurled at the target to inflict damage. Money is earned after the battle."
"Payback","The user stores power, then attacks. This move's power is doubled if the user moves after the target."
"Peck","The target is jabbed with a sharply pointed beak or horn to inflict damage."
"Perish Song","Any Pokémon that hears this song faints in three turns, unless it switches out of battle."
"Petal Blizzard","The user stirs up a violent petal blizzard and damages everything around it."
"Petal Dance","The user attacks the target by scattering petals for two to three turns. The user then becomes confused."
"Phantom Force","The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself."
"Photon Geyser","The user attacks the target with a pillar of light. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user."
"Pika Papow","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Pin Missile","The user attacks by shooting sharp spikes at the target. This move hits two to five times in a row."
"Plasma Fists","The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves."
"Play Nice","The user and the target become friends, and the target loses its will to fight. This lowers the target's Attack stat."
"Play Rough","The user attacks by playing rough with the target. This may also lower the target's Attack stat."
"Pluck","The user attacks by pecking the target. If the target is holding a Berry, the user eats it and gains its effect."
"Poison Fang","The user bites the target with toxic fangs. This may also leave the target badly poisoned."
"Poison Gas","A cloud of poison gas is sprayed in the faces of opposing Pokémon, poisoning those it hits."
"Poison Jab","The target is stabbed with a tentacle, an arm, or the like steeped in poison. This may also poison the target."
"Poison Powder","The user scatters a cloud of poisonous dust that poisons the target."
"Poison Sting","The user stabs the target with a poisonous stinger to inflict damage. This may also poison the target."
"Poison Tail","The user hits the target with its tail. This move has a heightened chance of landing a critical hit and may also poison the target."
"Pollen Puff","The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead."
"Poltergeist","The user attacks by controlling the target's item. This move fails if the target isn't holding an item."
"Population Bomb","The user’s fellows gather in droves to perform a combo attack that hits the target one to ten times in a row."
"Pounce","The user attacks by pouncing on the target. This also lowers the target's Speed stat."
"Pound","The target is physically pounded with a long tail, a foreleg, or the like."
"Powder","The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target."
"Powder Snow","The user attacks with a chilling gust of powdery snow. This may also leave opposing Pokémon frozen."
"Power Gem","The user attacks with a ray of light that sparkles as if it were made of gemstones."
"Power Shift","The user swaps its Attack and Defense stats."
"Power Split","The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target."
"Power Swap","The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target."
"Power Trick","The user employs its psychic power to switch its Attack stat with its Defense stat."
"Power Trip","The user boasts its strength and attacks the target. The more the user's stats are boosted, the greater the move's power."
"Power Whip","The user violently whirls its vines, tentacles, or the like to lash the target."
"Power-Up Punch","Striking opponents over and over makes the user’s fists harder. Hitting a target raises the Attack stat."
"Precipice Blades","The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone."
"Present","The user attacks by giving the target a gift with a hidden trap. The gift restores HP sometimes, however."
"Prismatic Laser","The user shoots powerful lasers using the power of a prism. The user can't move on the next turn."
"Protect","This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession."
"Psybeam","The target is attacked with a peculiar ray. This may also confuse the target."
"Psyblade","The user rends the target with an ethereal blade. This move's power is boosted by 50 percent if the user is on Electric Terrain."
"Psych Up","The user hypnotizes itself into copying any stat change made by the target."
"Psychic","The target is hit with a strong telekinetic force to inflict damage. This may also lower the target’s Sp. Def stat."
"Psychic Fangs","The user attacks by biting the target with its psychic capabilities. This move can also break barriers, such as Light Screen and Reflect."
"Psychic Noise","The user attacks the target with unpleasant sound waves. For two turns, the target is prevented from recovering HP through moves, Abilities, or held items."
"Psychic Terrain","This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns."
"Psycho Boost","The user attacks the target with all its might. The recoil from this move harshly lowers the user's Sp. Atk stat."
"Psycho Cut","The user tears at the target with blades formed by psychic power. This move has a heightened chance of landing a critical hit."
"Psycho Shift","Using its psychic power of suggestion, the user transfers its status conditions to the target."
"Psyshield Bash","Cloaking itself in psychic energy, the user slams into the target. This also boosts the user’s Defense stat."
"Psyshock","The user materializes an odd psychic wave to attack the target. This move deals physical damage."
"Psystrike","The user materializes an odd psychic wave to attack the target. This move deals physical damage."
"Psywave","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Pulverizing Pancake","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Punishment","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Purify","The user heals the target’s status condition. If the move succeeds, it also restores the user’s own HP."
"Pursuit","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Pyro Ball","The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn."
"Quash","The user suppresses the target and makes its move go last."
"Quick Attack","The user lunges at the target to inflict damage, moving at blinding speed. This move always goes first."
"Quick Guard","The user protects itself and its allies from priority moves."
"Quiver Dance","The user lightly performs a beautiful, mystic dance. This boosts the user's Sp. Atk, Sp. Def, and Speed stats."
"Rage","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Rage Fist","The user converts its rage into energy to attack. The more times the user has been hit by attacks, the greater the move's power."
"Rage Powder","The user scatters a cloud of irritating powder to draw attention to itself. Opposing Pokémon aim only at the user."
"Raging Bull","The user performs a tackle like a raging bull. This move's type depends on the user's form. It can also break barriers, such as Light Screen and Reflect."
"Raging Fury","The user rampages around spewing flames for two to three turns. The user then becomes confused."
"Rain Dance","The user summons a heavy rain that falls for five turns, powering up Water-type attacks. The rain also lowers the power of Fire-type attacks."
"Rapid Spin","The user performs a spin attack that can also eliminate the effects of such moves as Bind, Wrap, and Leech Seed. This also boosts the user's Speed stat."
"Razor Leaf","Sharp-edged leaves are launched to slash at opposing Pokémon. This move has a heightened chance of landing a critical hit."
"Razor Shell","The user cuts the target with sharp shells to inflict damage. This may also lower the target's Defense stat."
"Razor Wind","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Recover","The user regenerates its cells, restoring its own HP by up to half its max HP."
"Recycle","The user recycles a held item that has been used in battle so it can be used again."
"Reflect","A wondrous wall of light is put up to reduce damage from physical moves for five turns."
"Reflect Type","The user reflects the target's type to become the same type as the target."
"Refresh","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Relic Song","The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep."
"Rest","The user goes to sleep for two turns. This fully restores the user's HP and cures any status conditions."
"Retaliate","The user takes revenge for a fainted ally. This move's power is boosted if an ally fainted in the previous turn."
"Return","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Revelation Dance","The user attacks the target by dancing with all its might. This move becomes the same type as the user's type."
"Revenge","This attack move’s power is doubled if the user has been hurt by the opponent in the same turn."
"Reversal","An all-out attack that becomes more powerful the less HP the user has."
"Revival Blessing","The user bestows a loving blessing, reviving a party Pokémon that has fainted and restoring half that Pokémon's max HP."
"Rising Voltage","The user attacks with electricity rising from the ground. This move's power is doubled if the target is on Electric Terrain."
"Roar","The target is scared off, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
"Roar of Time","The user blasts the target with power that distorts even time. The user can't move on the next turn."
"Rock Blast","The user attacks by hurling hard rocks at the target. This move hits two to five times in a row."
"Rock Climb","This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
"Rock Polish","The user polishes its body to reduce drag. This sharply boosts the user's Speed stat."
